Room Name,D1 Device,Available Ports in D1,Has SW1,Available Ports in SW1
JFSB-B050,Sony VPL,2,True,0
JFSB-B053,SonyXBR,3,False,0
JFSB-B060,Sony Projector No Audio,2,True,0
JFSB-B061,Sony XBR No Audio,3,False,0
JFSB-B062,Sony Projector No Audio,2,True,0
JFSB-B071,Sony XBR No Audio,3,False,0
JFSB-B092,Sony Projector No Audio,2,True,2
JFSB-B094,Sony Projector No Audio,2,True,0
JFSB-B099,Sony Projector No Audio,2,True,0
JFSB-B101,Sony Projector No Audio,2,True,0
JFSB-B103,Sony Projector No Audio,2,True,0
JFSB-B104,Sony Projector No Audio,2,True,0
JFSB-B105,Sony VPL,2,True,1
JFSB-B106,Sony PHZ10,2,True,0
JFSB-B112,Sony VPL,2,True,1
JFSB-B114,Sony VPL,2,True,1
JFSB-B132,Sony PHZ10,2,True,0
JFSB-B135,Sony Projector No Audio,2,True,0
JFSB-B137,Sony Projector No Audio,2,True,2
JFSB-B140,Sony Projector No Audio,2,True,0
JFSB-B142,Sony VPL,2,True,0
JFSB-B150,Sony Projector No Audio,2,True,0
JFSB-B152,Sony Projector No Audio,2,True,0
JFSB-B160,Sony XBR No Audio,3,True,2
JFSB-B161,SonyXBR,1,False,0
JFSB-B164,Sony XBR No Audio,3,True,0
JFSB-B181,Sony Projector No Audio,2,False,0
JFSB-B190,Sony Projector No Audio,2,True,2
JFSB-B192,Sony Projector No Audio,2,True,1
JKB-1001A,SonyXBR,3,True,1
JKB-1001B,Sony PHZ10,2,True,1
JKB-1001C,SonyXBR,3,True,1
JKB-1002,Sony PHZ10,2,True,0
JKB-1004,Sony PHZ10,2,True,0
JKB-1005,Sony Projector No Audio,2,True,0
JKB-1006,Sony VPL,2,True,0
JKB-1008,Sony Projector No Audio,2,True,0
JKB-1010,Sony PHZ10,2,True,0
JKB-1011,SonyXBR,3,False,0
JKB-1012,Sony VPL,2,True,0
JKB-1013,Sony PHZ10,2,True,0
JKB-1018,Sony VPL,2,True,0
JKB-1020,Sony PHZ10,2,True,0
JKB-1101,Sony PHZ10,2,True,0
JKB-1102,Sony Projector No Audio,2,True,0
JKB-1103,Sony PHZ10,2,True,0
JKB-1104,Sony Projector No Audio,2,True,0
JKB-1105,Sony VPL,2,True,0
JKB-1106,SonyXBR,3,True,1
JKB-1107,Sony PHZ10,2,True,0
JKB-1108,Sony Projector No Audio,2,True,0
JKB-1110,Sony PHZ10,2,True,1
JKB-1114,Sony VPL,2,True,1
JKB-1115,Sony VPL,2,True,0
JKB-1116,Sony VPL,2,True,1
JKB-1117,Sony VPL,2,True,0
JKB-1119,SonyXBR,3,True,0
JKB-1120,Sony VPL,2,True,1
JKB-1121,Sony PHZ10,2,True,1
JKB-1122,Sony XBR No Audio,3,True,3
JKB-1123,Sony PHZ10,2,True,1
JKB-1125,SonyXBR,3,True,0
JKB-1126,Sony VPL,2,True,0
JKB-1127,Sony VPL,2,True,0
JKB-1129,Sony PHZ10,2,True,1
JKB-2001A,Sony VPL,2,True,3
JKB-2001K,SonyXBR,2,False,0
JKB-2002,SonyXBR,0,False,0
JKB-2004,Sony VPL,2,True,0
JKB-2004C,SonyXBR,1,False,0
JKB-2009,Sony PHZ10,2,True,0
JKB-2011,Sony PHZ10,2,True,0
JKB-2018,SonyXBR,0,False,0
JKB-2104,Sony Projector No Audio,2,True,0
JKB-2105,Sony Projector No Audio,2,True,0
JKB-2107,Sony Projector No Audio,2,True,0
JKB-2110,Sony Projector No Audio,2,True,0
JKB-2111,Sony Projector No Audio,2,True,0
JKB-2112,Sony PHZ10,2,True,0
JKB-2113,Sony Projector No Audio,2,True,0
JKB-2114,Sony VPL,2,True,0
JKB-2119,SonyXBR,1,False,0
JKB-3012,Sony VPL,2,True,0
JKB-3016,Sony VPL,2,True,0
JKB-3024,Sony VPL,2,True,0
JKB-3104,Sony Projector No Audio,2,True,3
JKB-3106,Sony Projector No Audio,2,True,0
JKB-3108,Sony Projector No Audio,2,True,1
JKB-3109,Sony VPL,2,True,0
JKB-3112,Sony Projector No Audio,2,True,0
JKB-3113,Sony VPL,1,False,0
JKB-3115,Sony VPL,2,True,0
JKB-3122B,SonyXBR,0,False,0
JKB-4035,Sony PHZ10,2,True,0
JKB-4037,SonyXBR,0,False,0
JKB-4051,Sony VPL,2,True,0
JKB-4057,Sony VPL,2,True,0
JRCB-205,Sony Projector No Audio,2,True,0
JRCB-206,Sony Projector No Audio,2,True,0
JRCB-208,Sony Projector No Audio,2,True,0
JRCB-260G,SonyXBR,1,False,0
JRCB-267,Sony VPL,2,False,0
JRCB-271,Sony Projector No Audio,2,False,0
JRCB-274A,SonyXBR,2,False,0
JRCB-274B,SonyXBR,2,False,0
JRCB-274D,SonyXBR,2,False,0
JRCB-274F,SonyXBR,2,False,0
JRCB-274H,SonyXBR,2,False,0
JRCB-275,Sony Projector No Audio,2,True,2
JRCB-276XA,Sony VPL,1,False,0
JRCB-276XB,Sony XBR No Audio,3,True,2
JRCB-296,Sony Projector No Audio,2,True,0
JRCB-303,Sony VPL,2,True,0
JRCB-306,Sony Projector No Audio,2,True,2
JRCB-314,Sony PHZ10,2,True,0
JRCB-320,Sony XBR No Audio,3,True,1
JRCB-343,Sony VPL,1,False,0
JRCB-364B,SonyXBR,2,False,0
JRCB-375A,SonyXBR,2,False,0
JRCB-380B,SonyXBR,2,False,0
JRCB-380C,SonyXBR,2,False,0
JRCB-380D,SonyXBR,2,False,0
JRCB-380E,SonyXBR,2,False,0
JRCB-380F,SonyXBR,2,False,0
JRCB-380G,SonyXBR,2,False,0
JRCB-380H,SonyXBR,2,False,0
JRCB-388,SonyXBR,2,False,0
JRCB-452,SonyXBR,2,False,0
JRCB-459B,Sony XBR No Audio,3,False,0
JRCB-472,Sony VPL,2,True,0
JRCB-482,SonyXBR,3,False,0
JSB-103,Sony Projector No Audio,2,True,1
JSB-106,Sony Projector No Audio,2,True,0
JSB-110,Sony Projector No Audio,2,True,0
JSB-114,Sony VPL,2,True,0
JSB-164,Sony PHZ10,2,True,0
JSB-170,Sony Projector No Audio,2,True,0
JSB-171,Sony VPL,2,True,0
JSB-174,Sony Projector No Audio,2,True,0
JSB-175,Sony Projector No Audio,2,True,0
JSB-178,Sony Projector No Audio,2,True,0
JSB-179,Sony VPL,2,True,0
JSB-182,Sony Projector No Audio,2,True,0
JSB-202,Sony Projector No Audio,2,True,0
JSB-203,Sony PHZ10,2,True,0
JSB-213,Sony PHZ10,2,True,2
JSB-382,Sony Projector No Audio,2,True,0
KMBL-102,Sony Projector No Audio,2,True,0
KMBL-103,Sony PHZ10,2,False,0
KMBL-1043,Sony Projector No Audio,2,True,4
KMBL-105,Sony VPL,0,False,0
KMBL-109,SonyXBR,3,False,0
KMBL-112,Sony VPL,2,True,0
KMBL-1142,SonyXBR,0,False,0
KMBL-1150,SonyXBR,3,True,0
KMBL-1151,SonyXBR,3,False,0
KMBL-1153,SonyXBR,3,False,0
KMBL-1190C,SonyXBR,2,False,0
KMBL-130A,SonyXBR,0,False,0
KMBL-130B,SonyXBR,0,False,0
KMBL-133,SonyXBR,1,False,0
KMBL-137,SonyXBR,0,False,0
KMBL-149,SonyXBR,0,False,0
KMBL-154,SonyXBR,3,True,0
KMBL-155,SonyXBR,0,False,0
KMBL-156,SonyXBR,0,False,0
KMBL-157,SonyXBR,3,True,1
KMBL-230,Sony Projector No Audio,2,True,1
KMBL-235,Sony PHZ10,2,True,0
KMBL-240,Sony Projector No Audio,2,True,1
KMBL-245,Sony Projector No Audio,2,True,0
KMBL-250,pjlink-projector,2,True,0
KMBL-250XA,Fake Display,0,True,0
KMBL-262,Sony Projector No Audio,2,True,0
KMBL-270,Sony Projector No Audio,2,True,0
KMBL-280,Sony Projector No Audio,2,True,0
KMBL-285,Sony PHZ10,2,True,0
KMBL-460,Sony PHZ10,2,True,0
KMBL-462,Sony VPL,2,True,0
KMBL-490,Sony PHZ10,2,False,0
KMBL-500C,Sony Projector No Audio,2,True,0
KMBL-620,Sony Projector No Audio,2,True,0
KMBL-640,Sony VPL,2,False,0
KMBL-660,Sony Projector No Audio,2,True,0
KMBL-680,SonyXBR,3,True,0
KMBL-793,Sony Projector No Audio,2,True,0
KMBL-893,SonyXBR,0,False,0
KMBL-948,Sony Projector No Audio,2,True,0
KMBL-990P,SonyXBR,0,False,0
LSB-2006,Sony Projector No Audio,2,False,0
LSB-2015XA,Sony PHZ10,2,True,0
LSB-2015XB,SonyXBR,2,False,0
LSB-2017XA,Sony PHZ10,2,True,0
LSB-2017XB,SonyXBR,2,False,0
LSB-2018,Sony PHZ10,2,True,1
LSB-2019XA,Sony VPL,2,True,1
LSB-2019XB,SonyXBR,2,False,0
LSB-2021XA,Sony PHZ10,2,True,0
